Date,ProductID,Sales,Price,CompetitionPrice,Holiday,StartingWeek,Weekend
2020-01-01,11,60,106.8,99.58,0,1,0
2020-01-01,25,14,43.86,44.79,0,1,0
2020-01-01,13,17,50.63,48.06,0,1,0
2020-01-01,3,22,90.0,86.67,0,1,0
2020-01-01,10,22,72.97,78.28,0,1,0
2020-01-01,24,17,69.21,82.36,0,1,0
2020-01-01,2,35,173.43,171.59,0,1,0
2020-01-01,14,15,33.77,30.38,0,1,0
2020-01-01,30,14,32.56,36.69,0,1,0
2020-01-01,18,13,38.9,39.52,0,1,0
2020-01-01,28,23,92.38,96.06,0,1,0
2020-01-01,20,9,12.64,11.78,0,1,0
2020-01-01,26,20,70.14,70.22,0,1,0
2020-01-01,21,13,25.65,29.48,0,1,0
2020-01-01,4,18,51.66,55.17,0,1,0
2020-01-01,22,15,46.55,50.34,0,1,0
2020-01-01,8,12,65.58,59.77,0,1,0
2020-01-01,19,10,24.01,27.99,0,1,0
2020-01-01,12,32,76.45,72.14,0,1,0
2020-01-01,9,32,111.14,109.52,0,1,0
2020-01-01,16,18,78.48,88.29,0,1,0
2020-01-01,1,32,157.64,175.54,0,1,0
2020-01-01,15,17,48.6,52.05,0,1,0
2020-01-01,17,29,53.09,47.8,0,1,0
2020-01-01,6,89,367.82,358.26,0,1,0
2020-01-01,23,15,17.74,16.75,0,1,0
2020-01-01,7,25,79.71,75.77,0,1,0
2020-01-01,27,52,151.53,173.48,0,1,0
2020-01-01,29,9,21.95,19.45,0,1,0
2020-01-01,5,19,37.98,40.66,0,1,0
2020-01-02,18,17,31.23,25.34,0,1,0
2020-01-02,16,26,52.47,51.32,0,1,0
2020-01-02,9,36,71.01,83.53,0,1,0
2020-01-02,7,22,85.59,86.49,0,1,0
2020-01-02,29,7,21.74,24.23,0,1,0
2020-01-02,5,20,33.16,29.96,0,1,0
2020-01-02,11,59,102.27,116.49,0,1,0
2020-01-02,14,14,20.93,17.45,0,1,0
2020-01-02,26,13,51.14,52.19,0,1,0
2020-01-02,8,14,61.47,69.27,0,1,0
2020-01-02,12,40,102.44,83.82,0,1,0
2020-01-02,20,10,14.98,13.78,0,1,0
2020-01-02,4,17,44.7,48.56,0,1,0
2020-01-02,15,19,37.01,32.1,0,1,0
2020-01-02,1,28,177.84,200.79,0,1,0
2020-01-02,28,29,75.66,71.28,0,1,0
2020-01-02,21,10,33.38,39.15,0,1,0
2020-01-02,13,16,37.71,33.9,0,1,0
2020-01-02,23,9,20.76,23.34,0,1,0
2020-01-02,25,16,57.93,65.25,0,1,0
2020-01-02,19,13,17.83,16.36,0,1,0
2020-01-02,22,17,37.27,42.01,0,1,0
2020-01-02,24,23,54.6,54.99,0,1,0
2020-01-02,6,63,311.91,316.53,0,1,0
2020-01-02,30,12,55.68,51.06,0,1,0
2020-01-02,10,15,73.21,84.58,0,1,0
2020-01-02,3,24,83.9,98.9,0,1,0
2020-01-02,2,37,250.51,218.31,0,1,0
2020-01-02,27,51,253.74,291.99,0,1,0
2020-01-02,17,29,90.13,86.05,0,1,0
2020-01-03,18,14,54.49,53.96,0,1,0
2020-01-03,5,23,32.71,26.53,0,1,0
2020-01-03,8,17,79.99,69.28,0,1,0
2020-01-03,26,14,69.45,64.66,0,1,0
2020-01-03,6,95,382.93,386.05,0,1,0
2020-01-03,19,15,16.57,19.88,0,1,0
2020-01-03,14,6,30.78,33.27,0,1,0
2020-01-03,27,60,195.17,214.61,0,1,0
2020-01-03,9,24,78.46,72.57,0,1,0
2020-01-03,10,19,68.45,72.56,0,1,0
2020-01-03,29,8,21.17,23.49,0,1,0
2020-01-03,28,27,96.05,80.84,0,1,0
2020-01-03,1,24,107.2,103.88,0,1,0
2020-01-03,25,17,34.97,32.25,0,1,0
2020-01-03,12,34,75.74,87.41,0,1,0
2020-01-03,4,14,32.81,30.75,0,1,0
2020-01-03,20,9,18.53,16.88,0,1,0
2020-01-03,23,15,29.9,33.54,0,1,0
2020-01-03,21,15,36.61,38.38,0,1,0
2020-01-03,7,18,61.17,62.07,0,1,0
2020-01-03,24,15,76.06,67.79,0,1,0
2020-01-03,22,18,45.66,39.42,0,1,0
2020-01-03,3,29,77.75,80.21,0,1,0
2020-01-03,15,11,51.23,57.43,0,1,0
2020-01-03,13,15,33.36,32.18,0,1,0
2020-01-03,17,37,64.45,55.78,0,1,0
2020-01-03,11,46,91.65,84.29,0,1,0
2020-01-03,16,27,72.51,82.03,0,1,0
2020-01-03,30,13,40.21,42.52,0,1,0
2020-01-03,2,49,251.07,247.76,0,1,0
2020-01-04,24,43.5,60.47,63.91,0,1,1
2020-01-04,12,60.0,116.67,107.68,0,1,1
2020-01-04,6,148.5,236.37,192.84,0,1,1
2020-01-04,25,18.0,57.72,47.22,0,1,1
2020-01-04,26,25.5,55.79,55.04,0,1,1
2020-01-04,8,24.0,63.22,71.43,0,1,1
2020-01-04,7,34.5,53.98,62.14,0,1,1
2020-01-04,30,15.0,41.78,33.47,0,1,1
2020-01-04,19,13.5,18.09,17.46,0,1,1
2020-01-04,16,39.0,52.28,50.45,0,1,1
2020-01-04,2,87.0,182.49,206.31,0,1,1
2020-01-04,22,15.0,35.61,38.02,0,1,1
2020-01-04,10,36.0,59.45,57.52,0,1,1
2020-01-04,21,22.5,33.48,37.9,0,1,1
2020-01-04,28,28.5,72.3,71.35,0,1,1
2020-01-04,17,49.5,63.92,56.08,0,1,1
2020-01-04,3,37.5,63.17,61.15,0,1,1
2020-01-04,1,40.5,117.06,108.6,0,1,1
2020-01-04,14,18.0,23.24,25.5,0,1,1
2020-01-04,9,51.0,61.54,65.34,0,1,1
2020-01-04,5,18.0,29.21,23.41,0,1,1
2020-01-04,15,28.5,54.71,61.34,0,1,1
2020-01-04,13,18.0,54.96,60.86,0,1,1
2020-01-04,29,18.0,16.27,13.63,0,1,1
2020-01-04,27,85.5,251.58,300.94,0,1,1
2020-01-04,23,19.5,16.66,14.72,0,1,1
2020-01-04,11,81.0,114.23,133.87,0,1,1
2020-01-04,20,16.5,18.58,16.16,0,1,1
2020-01-04,4,15.0,33.64,30.64,0,1,1
2020-01-04,18,24.0,33.77,34.88,0,1,1
2020-01-05,14,10.5,37.44,40.24,0,1,1
2020-01-05,12,49.5,118.52,117.51,0,1,1
2020-01-05,29,21.0,27.17,23.26,0,1,1
2020-01-05,6,121.5,239.01,263.82,0,1,1
2020-01-05,18,19.5,38.65,44.69,0,1,1
2020-01-05,30,15.0,30.35,35.69,0,1,1
2020-01-05,16,25.5,50.93,48.79,0,1,1
2020-01-05,8,28.5,58.92,66.32,0,1,1
2020-01-05,27,96.0,185.46,161.95,0,1,1
2020-01-05,15,27.0,58.97,60.07,0,1,1
2020-01-05,24,30.0,53.81,53.88,0,1,1
2020-01-05,23,12.0,23.89,21.96,0,1,1
2020-01-05,26,27.0,52.68,61.11,0,1,1
2020-01-05,25,19.5,54.8,61.47,0,1,1
2020-01-05,20,9.0,9.06,9.32,0,1,1
2020-01-05,11,79.5,110.06,99.38,0,1,1
2020-01-05,3,28.5,62.15,52.11,0,1,1
2020-01-05,1,51.0,194.6,167.21,0,1,1
2020-01-05,4,22.5,56.5,64.55,0,1,1
2020-01-05,21,16.5,24.02,22.56,0,1,1
2020-01-05,9,52.5,92.34,79.7,0,1,1
2020-01-05,7,24.0,94.79,93.64,0,1,1
2020-01-05,22,25.5,43.0,36.48,0,1,1
2020-01-05,10,43.5,47.01,48.5,0,1,1
2020-01-05,2,67.5,267.8,288.97,0,1,1
2020-01-05,13,18.0,49.91,44.56,0,1,1
2020-01-05,17,48.0,88.5,89.1,0,1,1
2020-01-05,5,27.0,33.23,38.2,0,1,1
2020-01-05,28,39.0,93.95,98.72,0,1,1
2020-01-05,19,9.0,16.49,18.72,0,1,1
2020-01-06,15,12,40.24,44.37,0,1,0
2020-01-06,24,16,51.24,41.22,0,1,0
2020-01-06,14,11,29.06,33.77,0,1,0
2020-01-06,10,15,40.26,33.41,0,1,0
2020-01-06,2,60,272.15,307.17,0,1,0
